"Specjalny Ośrodek Szkolno-Wychowawczy dla Głuchych im. Jana Siestrzyńskiego	Łucka 17/23	""Football							"""
"Specjalny Ośrodek Szkolno-Wychowawczy Nr 9	J. C. Paska 10	""Volleyball							"""
"Społeczne LO nr 2 (uczelnia niepubliczna)	Nowowiejska 5	""Football							"""
"Stołeczne Centrum Sportu AKTYWNA WARSZAWA Grzybowska	Grzybowska 35	""Volleyball							"""
"Szkoła Filialna SP nr 273	Arkuszowa 202	""Volleyball							"""
"Szkoła Główna Służby Pożarniczej	H. Siemiradzkiego 2	""Football							"""
"Szkoła Podstawowa nr 323 im.Polskich Olimpijczyków w Warszawie	L. Hirszfelda 11	""Volleyball							"""
"Szkoła Policealna nr 13	Krasnołęcka 3	""Basketball							"""
"The British School (właściciel prywatny)	B. Limanowskiego 15	""Volleyball							"""
"TKKF AS - sala gimnastyczna wielofunkcyjna	S. Skarżyńskiego 6A	""Football							"""
"UW Wydział Zarządzania	Szturmowa 3	""Basketball							"""
"V LO im. ks. Józefa Poniatowskiego	Nowolipie 8	""Football							"""
"VII LO im. Juliusza Słowackiego	Wawelska 46	""Handball							"""
"VIII LO i 58 Gimnazjum im. Władysława IV	Jagiellońska 38	""Volleyball							"""
"Warszawski Klub Tenisowy Mera (właściciel prywatny)	Aleja Bohaterów Września 6/12	""Handball							"""
"WKS Gwardia	Racławicka 132	""Volleyball							"""
"Wojskowa Akademia Techniczna	Gen. S. Kaliskiego 2	""Football							"""
"Wyższa Szkoła Menedżerska	Kawęczyńska 36	""Basketball							"""
"X LO im. Królowej Jadwigi	J. P. Woronicza 6/8	""Basketball							"""
"XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta	Fundamentowa 38/42	""Basketball							"""
"XI LO im. Mikołaja Reja	Pl. St. Małachowskiego 1	""Volleyball							"""
"XIII LO im. płk Leopolda Lisa-Kuli	Oszmiańska 23/25	""Volleyball							"""
"XIX LO im. Powstańców Warszawy	Zbaraska 1	""Basketball							"""
"XLII LO im. Marii Konopnickiej	Gen. J. A. Madalińskiego 22	""Football							"""
"XLIII LO im. Kazimierza Wielkiego	M. Gandhiego 13	""Handball							"""
"XLIV LO im. A. Dobiszewskiego	Dolna 6	""Basketball							"""
"XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego	F. Joliot-Curie 14	""Football							"""
"XLV LO im. Romualda Traugutta	Miła 26	""Basketball							"""
"XLVI LO z Oddziałami Integracyjnymi im. Stefana Czarnieckiego	Żuromińska 4	""Football							"""
"XLVII LO im. Stanisława Wyspiańskiego	Międzyborska 64/70	""Handball							"""
"XLVII LO im. Stanisława Wyspiańskiego	Międzyborska 64/70	""Basketball							"""
"XLVIII LO im. Edwarda Dembowskiego	Szczęśliwicka 50/54	""Football							"""
"XVII LO z Oddziałami Dwujęzycznymi im. Andrzeja Frycza-Modrzewskiego	Elektoralna 5/7	""Volleyball							"""
"XVIII LO im. Jana Zamoyskiego / Gimnazjum nr 44	Smolna 30	""Volleyball							"""
"XXI LO im. Hugona Kołłątaja	Grójecka 93	""Handball							"""
"XXII LO z Oddziałami Dwujęzycznymi im. Jose Marti	L. Staffa 111	""Handball							"""
"XXIII LO im. Marii Skłodowskiej-Curie	Naddnieprzańska 2/4	""Volleyball							"""
"XXV LO im. Józefa Wybickiego	Halna 20	""Football							"""
"XXVII LO im. Tadeusza Czackiego	Polna 5	""Handball							"""
"XXVIII LO im. Jana Kochanowskiego	Wiktorska 99	""Volleyball							"""
"XXX LO im. Jana Śniadeckiego	Wolność 1/3	""Volleyball							"""
"XXXVII LO im. Jarosława Dąbrowskiego	Świętokrzyska 1	""Basketball							"""
"Zakład Gospodarowania Nieruchomościami w Dzielnicy Mokotów	W. Żywnego 25	""Football							"""
"Zakład Gospodarowania Nieruchomościami w Dzielnicy Śródmieście	E. Plater 29	""Handball							"""
"Zakład Gospodarowania Nieruchomościami w Dzielnicy Śródmieście	E. Plater 31	""Volleyball							"""
"Zasadnicza Szkoła Zawodowa nr 31	W. Rzymowskiego 38	""Basketball							"""
"Zespół Placówek Szkolno - Wychowawczo - Rewalidacyjnych Nr 1	Bełska 5	""Football							"""
"Zespół Szkolno-Przedszkolny nr 1	Gościniec 53	""Basketball							"""
"Zespół Szkolno-Przedszkolny nr 2	Brygadzistów 18	""Volleyball							"""
"Zespół Szkolno-Przedszkolny nr 3 im. Macieja Rataja	Przyczółkowa 27	""Handball							"""
"Zespół Szkolno-Przedszkolny nr 6	S. Szobera 1/3	""Volleyball							"""
"Zespół Szkół nr 69	Drewniana 8	""Handball							"""
"Zespół Szkół Toruńska Społecznego Towarzystwa Oświatowego (właściciel prywatny)	Toruńska 23	""Football							"""
"Zespół Szkół Architektoniczno-Budowlanych i Licealnych im. Stanisława Noakowskiego	Przyrynek 9	""Basketball							"""
"Zespół Szkół Elektronicznych i Licealnych	Gen. J. Zajączka 7	""Handball							"""
"Zespół Szkół Fototechnicznych	Spokojna 13	""Handball							"""
"Zespół Szkół Gastronomiczno-Hotelarskich	Majdańska 30/36	""Football							"""
"Zespół Szkół Gastronomicznych im.prof.E.Pijanowskiego	Poznańska 6/8	""Basketball							"""
"Zespół Szkół im. Bohaterów Narwiku	Gładka 16	""Handball							"""
"Zespół Szkół im. inż. Stanisława Wysockiego & CKU nr 2	Szczęśliwicka 56	""Basketball							"""
"Zespół Szkół im. inż. Stanisława Wysockiego & CKU nr 2	Szczęśliwicka 56	""Basketball							"""
"Zespół Szkół im. Maharadży Jam Saheba Digvijay Sinhji Bednarska (właściciel prywatny) Zespół Szkół im. Maharadży Jam Saheba Digvijay Sinhji Bednarska	Raszyńska 22	""Volleyball							"""
"Zespół Szkół im. Maharadży Jam Saheba Digvijay Sinhji Bednarska (właściciel prywatny) Zespół Szkół im. Maharadży Jam Saheba Digvijay Sinhji Bednarska	Zawiszy 13	""Handball							"""
"Zespół Szkół im. Michała Konarskiego	Okopowa 55A	""Basketball							"""
"Zespół Szkół im. Piotra Wysockiego	J. Odrowąża 75	""Volleyball							"""
"Zespół Szkół Integracyjnych nr 62 im. Raoula Wallenberga	Św. Bonifacego 10	""Handball							"""
"Zespół Szkół Integracyjnych nr 71 im. Edmunda Bojanowskiego	Deotymy 37	""Football							"""
"Zespół Szkół Licealnych i Ekonomicznych nr 1	Stawki 10	""Football							"""
"Zespół Szkół Licealnych i Technicznych nr 1	Wiśniowa 56	""Football							"""
"Zespół Szkół Nr 10 im. Stanisława Staszica	W. Perzyńskiego 10	""Basketball							"""
"Zespół Szkół nr 106	V. Van Gogha 1	""Basketball							"""
"Zespół Szkół nr 11 im. Władysława Grabskiego	Ratuszowa 13	""Handball							"""
"Zespół Szkół nr 110	Wrzeciono 24	""Basketball							"""
"Zespół Szkół Nr 111	Poezji 5	""Handball							"""
"Zespół Szkół Nr 112	Otwocka 3	""Volleyball							"""
"Zespół Szkół nr 112	Tarnowiecka 4	""Basketball							"""
"Zespół Szkół nr 114	Alpejska 16	""Football							"""
"Zespół Szkół Nr 115	Króla Maciusia 5	""Basketball							"""
"Zespół Szkół Nr 116	Koryncka 33	""Football							"""
"Zespół Szkół nr 118	Kiwerska 3	""Basketball							"""
"Zespół Szkół nr 119	B. Zuga 16	""Football							"""
"Zespół Szkół nr 12 im. Olimpijczyków Polskich	Siennicka 15	""Volleyball							"""
"Zespół Szkół nr 121	Czerniakowska 128	""Football							"""
"Zespół Szkół nr 124 w Warszawie	J. Conrada 6	""Football							"""
"Zespół Szkół nr 125	Hoża 88	""Handball							"""
"Zespół Szkół nr 14	J. Szanajcy 5	""Basketball							"""
"Zespół Szkół nr 14	J. Szanajcy 5	""Volleyball							"""
"Zespół Szkół nr 17 im. Zawiszaków Proporca „Victoria”	Promienista 12A	""Basketball							"""
"Zespół Szkół nr 18	S. Żeromskiego 81	""Basketball							"""
"Zespół Szkół nr 2 im. Wandy Rutkiewicz	Gubinowska 28/30	""Football							"""
"Zespół Szkół nr 20 im. gen. Józefa Bema	Marynarska 2/6	""Volleyball							"""
"Zespół Szkół nr 21	Saska 78	""Volleyball							"""
"Zespół Szkół nr 22 im. Emiliana Konopczyńskiego	E. Konopczyńskiego 4	""Basketball							"""
"Zespół Szkół nr 24 im. prof. Stefana Bryły	Księcia Janusza 45/47	""Basketball							"""
